"aggregated_crossings_id","barrier_id","internal_name","crossing_source","crossing_feature_type","crossing_type_code","barrier_status","transport_line_structured_name_1","rail_track_name","blue_line_key","watercourse_name","road_name","structure_type","structure_owner","private_owner_details","structure_list_status","assessment_type_completed","reason_for_exclusion","method_of_exclusion","partial_passability","partial_passability_notes","upstream_habitat_quality","constructability","estimated_cost_$","priority","type_of_rehabilitation","rehabilitated_by","rehabilitated_date","estimated_rehabilitation_cost_$","actual_project_cost_$","next_steps","timeline_for_next_steps","lead_for_next_steps","others_involved_in_next_steps","reason","notes","supporting_links","modelled_crossing_id","pscis_status","crossing_subtype_code","pscis_road_name","pscis_stream_name","pscis_assessment_comment","pscis_assessment_date","dam_name","dam_height","dam_owner","dam_use","dam_operating_status","utm_zone","utm_easting","utm_northing","downstream_route_measure","wscode","localcode","watershed_group_code","gnis_stream_name","barriers_anthropogenic_dnstr","barriers_anthropogenic_dnstr_count","barriers_anthropogenic_habitat_wcrp_upstr","barriers_anthropogenic_habitat_wcrp_upstr_count","barriers_ch_cm_co_pk_sk_dnstr","barriers_st_dnstr","barriers_wct_dnstr","ch_spawning_km","ch_rearing_km","ch_spawning_belowupstrbarriers_km","ch_rearing_belowupstrbarriers_km","cm_spawning_km","cm_spawning_belowupstrbarriers_km","co_spawning_km","co_rearing_km","co_rearing_ha","co_spawning_belowupstrbarriers_km","co_rearing_belowupstrbarriers_km","co_rearing_belowupstrbarriers_ha","pk_spawning_km","pk_spawning_belowupstrbarriers_km","sk_spawning_km","sk_rearing_km","sk_rearing_ha","sk_spawning_belowupstrbarriers_km","sk_rearing_belowupstrbarriers_km","sk_rearing_belowupstrbarriers_ha","st_spawning_km","st_rearing_km","st_spawning_belowupstrbarriers_km","st_rearing_belowupstrbarriers_km","wct_spawning_km","wct_rearing_km","wct_spawning_belowupstrbarriers_km","wct_rearing_belowupstrbarriers_km","all_spawning_km","all_spawning_belowupstrbarriers_km","all_rearing_km","all_rearing_belowupstrbarriers_km","all_spawningrearing_km","all_spawningrearing_belowupstrbarriers_km","set_id","total_hab_gain_set","num_barriers_set","avg_gain_per_barrier","dnstr_set_ids","rank_avg_gain_per_barrier","rank_avg_gain_tiered","rank_total_upstr_hab","rank_combined","tier_combined","label_in_wcrp","elko_region","geom"
"1004600013",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Domin Rd",NULL,356562624,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,644295,5471817,"506.235714430052","300.625474.584724.178595","300.625474.584724.178595.065566","ELKR",NULL,"1004606800;11e03b9a-0a3f-4022-b534-7e3de9eece2e",2,NULL,NULL,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.420561236510131","0","0.42","0","0","0.42","0.42","0.42","0.42","2182","0.42",2,"0.21000000000000000000",NULL,"79","94","85","78","D","no","above_elko","01010000E0BD0B000097F3A7FFBF643B4123D4E54EBEB020412F7B304D39B98D404C847E7CC5A37F40"
"1004600014",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","OBS","PASSABLE","unsigned",NULL,356481554,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,643731,5471867,"84.5701955572951","300.625474.584724.180931","300.625474.584724.180931","ELKR",NULL,"11e03b9a-0a3f-4022-b534-7e3de9eece2e",1,"1004600015;1004600195;1004601754;1004601761;1004601762;1024734150",6,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.60590667552648","0","0.27","0","0","1.61","1.61","1.61","1.61",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"no","above_elko","01010000E0BD0B00009EEF7A1289623B41F7EEF13791B02041006891ED7CB18D400BBA81157E245540"
"1004600015",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","unsigned",NULL,356481554,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,643618,5472098,"354.090409388774","300.625474.584724.180931","300.625474.584724.180931","ELKR",NULL,"11e03b9a-0a3f-4022-b534-7e3de9eece2e",1,"1004600195;1004601754;1004601761;1004601762;1024734150",5,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.33690667552644","0","0.66","0","0","1.34","0.67","1.34","0.67","143882","0.67",1,"0.67000000000000000000",NULL,"43","33","41","31","D","no","above_elko","01010000E0BD0B00009988E042FB613B414300A55A3DB220410000000000B88D4092801D5172217640"
"1004600018",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Caldwell Frtg",NULL,356567736,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,645504,5493046,"454.18902493009","300.625474.584724.306953","300.625474.584724.306953.092937","ELKR","Labelle Creek","1004600160;11e03b9a-0a3f-4022-b534-7e3de9eece2e",2,NULL,NULL,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.645000942744096","0","0.65","0","0","0.65","0.65","0.65","0.65","6542","0.66",2,"0.33000000000000000000",NULL,"71","85","68","69","D","no","above_elko","01010000E0BD0B0000CEE36BF4C95E3B41C88F9A4A5A56214170245813AC469040D84D013F06637C40"
"1004600019",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Caldwell Frtg",NULL,356518027,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,645214,5492571,"1741.1805562744","300.625474.584724.296913","300.625474.584724.296913","ELKR","Quail Creek","1004600159;11e03b9a-0a3f-4022-b534-7e3de9eece2e",2,NULL,NULL,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.56895852016171","0","1.57","0","0","1.57","1.57","1.57","1.57","8722","1.59",2,"0.79500000000000000000",NULL,"40","30","36","26","C","no","above_elko","01010000E0BD0B0000A25C98F1E65D3B4105F137966352214100000000003A90408B76BEE3B8349B40"
"1004600022",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Brenners Rd",NULL,356483280,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,641214,5488031,"595.681823457494","300.625474.584724.272792","300.625474.584724.272792.089804","ELKR",NULL,"1004600135;1004600156;11e03b9a-0a3f-4022-b534-7e3de9eece2e",3,"1004600025;1004600174;1004600176;1024734259",4,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.30899999999992","0","0.19","0","0","2.31","0.19","2.31","0.19","13082","2.63",7,"0.37571428571428571429",NULL,"63","76","22","45","D","no","above_elko","01010000E0BD0B000027E6FE16AC503B4145AB16B7352B21410000000000808F40A95CDB5F749D8240"
"1004600025",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Fernie Shop Rd",NULL,356483280,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,641848,5488962,"1914.97808700081","300.625474.584724.272792","300.625474.584724.272792.089804","ELKR",NULL,"1004600174;1024734259;1004600022;1004600135;1004600156;11e03b9a-0a3f-4022-b534-7e3de9eece2e",6,"1004600176",1,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.989999999999864","0","0.32","0","0","0.99","0.32","0.99","0.32","13082","2.63",7,"0.37571428571428571429",NULL,"63","76","22","45","D","no","above_elko","01010000E0BD0B0000D5E81383A9523B41BE4800580D3321414BE881D2C3A68F407D84A38FE9EB9D40"
"1004600041",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Hwy 43",NULL,356533147,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,650850,5524835,"2740.03959226084","300.625474.584724.485298","300.625474.584724.485298.074097","ELKR","Nordstrum Creek","1004601193;1004602341;1004600042;11e03b9a-0a3f-4022-b534-7e3de9eece2e",4,NULL,NULL,NULL,NULL,"24455370000013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.259549610960523","0.259549610960523","0.26","0.26","0.26","0.26","0.26","0.26","0.26","0.26","15263","0.26",1,"0.26000000000000000000","{15262}","74","188","98","132","D","no","above_elko","01010000E0BD0B00005BDFB0D490633B411D089B70F7512241E55FEABFB6669340F7D26F451468A540"
"1004600042",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Lower Elk Valley Rd",NULL,356533147,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600042,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,652290,5525210,"1152.44106270179","300.625474.584724.485298","300.625474.584724.485298.074097","ELKR","Nordstrum Creek","11e03b9a-0a3f-4022-b534-7e3de9eece2e",1,"1004600041;1004601193;1004602341",3,NULL,NULL,"24455370000013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.84754971163339","1.84754971163339","0.16","0.16","1.85","0.16","1.85","0.16","1.85","0.16","15262","1.59",3,"0.53000000000000000000",NULL,"51","39","30","28","C","no","above_elko","01010000E0BD0B00007DAE6AEAF4683B41410793335056224166D3596CADC49240B2DEF0A5C3019240"
"1004600044",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Dawson Cres",NULL,356502167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600044,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,647962,5541338,"3523.08846176518","300.625474.584724.574320","300.625474.584724.574320.362825","ELKR",NULL,"1004600045;1004600189;1004600051;11e03b9a-0a3f-4022-b534-7e3de9eece2e",4,NULL,NULL,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.161000000000058","0","0.16","0","0","0.16","0.16","0.16","0.16","19623","0.28",2,"0.14000000000000000000","{19622}","88","177","97","126","D","no","above_elko","01010000E0BD0B00007297E1E618503B4151BFBF17F0CE2241CBE9018769E29440CA48DC4A2D86AB40"
"1004600045",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Deerborne Dr",NULL,356502167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600045,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,648067,5541287,"3402.6052398496","300.625474.584724.574320","300.625474.584724.574320.362825","ELKR",NULL,"1004600189;1004600051;11e03b9a-0a3f-4022-b534-7e3de9eece2e",3,"1004600044",1,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.281000000000039","0","0.12","0","0","0.28","0.12","0.28","0.12","19623","0.28",2,"0.14000000000000000000","{19622}","88","177","97","126","D","no","above_elko","01010000E0BD0B0000B5F25A8C87503B41BC3B523AA6CE224101EFDB374EC994408960FFE13595AA40"
"1004600051",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Alpine Way",NULL,356502167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600051,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,648451,5540389,"2333.7898463432","300.625474.584724.574320","300.625474.584724.574320.362825","ELKR",NULL,"11e03b9a-0a3f-4022-b534-7e3de9eece2e",1,"1004600044;1004600045;1004600189",3,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.34999942685315","0","0.24","0","0","1.35","0.24","1.35","0.24","19622","1.07",2,"0.53500000000000000000",NULL,"50","38","40","34","D","no","above_elko","01010000E0BD0B000038E13BAB77523B4186F2535413C8224100D8A370BD249440D269BD66943BA240"
"1004600084",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Hwy 3",NULL,356562135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600084,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,649716,5499485,"735.674357751713","300.625474.584724.344439","300.625474.584724.344439","ELKR",NULL,"11e03b9a-0a3f-4022-b534-7e3de9eece2e",1,"1004601457;1004602419;1004606788;1024734735;1024734737;1024734738;1024734739;1024734740;1024734741;1024734755;1024734756",11,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.45200090262679","0","0.07","0","0","2.45","0.06","2.45","0.06","337902","1.67",5,"0.33400000000000000000",NULL,"70","83","23","51","D","no","above_elko","01010000E0BD0B0000B5D12CEBE26B3B414B85DEE0758C214165D506825FAC90404B4BAD1565FD8640"
"1004600085",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Hwy 3",NULL,356552342,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600085,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,649304,5498848,"3233.67761527567","300.625474.584724.329905","300.625474.584724.329905.280449","ELKR",NULL,"11e03b9a-0a3f-4022-b534-7e3de9eece2e",1,"1004606785;1024734736",2,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.09300000000016","1.09300000000016","0.38","0.38","1.09","0.37","1.09","0.37","1.09","0.37","28342","0.76",2,"0.38000000000000000000",NULL,"62","75","53","62","D","no","above_elko","01010000E0BD0B0000B3FDB3179C6A3B414ECDCF451D872141B25DC0E89EAB90408CB063F05A43A940"
"1004600086",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Hwy 3",NULL,356550268,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600086,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,648520,5497632,"4055.69042270899","300.625474.584724.318577.067207","300.625474.584724.318577.067207.334350","ELKR",NULL,"11e03b9a-0a3f-4022-b534-7e3de9eece2e",1,"1004606781;1024734206",2,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.874265735621783","0","0.13","0","0","0.87","0.13","0.87","0.13","30522","0.68",2,"0.34000000000000000000",NULL,"69","82","59","66","D","no","above_elko","01010000E0BD0B0000A1170B672D683B41B2ECCAE4E77C2141ED913023F39590400ED7157F61AFAF40"
"1004600115",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Loop Ridge Rd",NULL,356552233,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600115,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,659958,5500294,"148.673037427806","300.625474.584724.412090.345758","300.625474.584724.412090.345758.034402","ELKR",NULL,"1004606794;1004600350;11e03b9a-0a3f-4022-b534-7e3de9eece2e",3,"50276;50277",2,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.532000653472001","0","0.32","0","0","0.53","0.31","0.53","0.31","82842","0.38",3,"0.12666666666666666667",NULL,"90","106","76","81","D","no","above_elko","01010000E0BD0B0000C3AD0D822D933B415C51FFA2039D2141000000000000944025ADC98589956240"
"1004600118",NULL,NULL,"MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL","unsigned",NULL,356486629,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,660939,5493256,"483.842959871026","300.625474.584724.412090.520513","300.625474.584724.412090.520513","ELKR",NULL,"11e03b9a-0a3f-4022-b534-7e3de9eece2e",1,NULL,NULL,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0559922044539296","0","0.06","0","0","0.06","0.06","0.06","0.06","34882","0.06",1,"0.06000000000000000000",NULL,"98","113","126","110","D","no","above_elko","01010000E0BD0B00008A013237839A3B41E6060B7D7F6721412C110B54F48495405A5E7DC37C3D7E40"
"1004600120",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Corbin Rd",NULL,356512055,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,662104,5493070,"169.869765707044","300.625474.584724.412090.564433","300.625474.584724.412090.564433","ELKR",NULL,"1004606741;11e03b9a-0a3f-4022-b534-7e3de9eece2e",2,"1004606908",1,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.07000000000004","0","0.67","0","0","1.07","0.67","1.07","0.67","274682","1.1",3,"0.36666666666666666667",NULL,"66","79","50","64","D","no","above_elko","01010000E0BD0B000002D557491F9F3B412581088B3B672141CF103C4809D19540F65DE41ED53B6540"
"1004600126",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","utility access",NULL,356561989,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,665182,5502232,"1718.60637340944","300.625474.584724.412090.240087.140502","300.625474.584724.412090.240087.140502.150331","ELKR","Summit Creek","1004606815;1004600735;1004606818;1004600323;11e03b9a-0a3f-4022-b534-7e3de9eece2e",5,"1004600131;1004600132;1004600715;1004600736;1004600739;1004600758;1004601393;1004602454;1004606675;1004606677;1024734509",11,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.28411873592488","7.58404074623085","0.87","0.89","1.28","0.86","7.58","0.89","7.58","0.89","233262","1.86",5,"0.37200000000000000000",NULL,"64","77","6","37","D","no","above_elko","01010000E0BD0B0000654EFA8373A63B4183F6809447B1214100000000001C9540D6AA26ED6CDA9A40"
"1004600131",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Hwy 3",NULL,356561989,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,666040,5502164,"2799.67377293453","300.625474.584724.412090.240087.140502","300.625474.584724.412090.240087.140502.310825","ELKR",NULL,"1004606675;1004606677;1004600126;1004606815;1004600735;1004606818;1004600323;11e03b9a-0a3f-4022-b534-7e3de9eece2e",8,"1004600715;1004600736;1004600739;1004601393;1004602454;1024734509",6,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.203119197027804","4.79922787159624","0.08","0.08","0.2","0.07","4.8","0.08","4.8","0.08","233263","2.13",6,"0.35500000000000000000","{233262}","68","202","12","94","D","no","above_elko","01010000E0BD0B0000BA899D04D0A93B41AE31DCE79CB12141E412F74A7F629540791DC4F858DFA540"
"1004600132",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Hwy 3",NULL,356391328,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600132,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,665204,5502257,"23.4714318909725","300.625474.584724.412090.240087.140502.204384","300.625474.584724.412090.240087.140502.204384","ELKR",NULL,"1004600126;1004606815;1004600735;1004606818;1004600323;11e03b9a-0a3f-4022-b534-7e3de9eece2e",6,"1004600758",1,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.68081333573748","0","0.38","0","0","1.68","0.38","1.68","0.38","43602","1.68",2,"0.84000000000000000000","{233262}","37","60","35","42","D","no","above_elko","01010000E0BD0B0000923591FA85A63B41741C229A7FB121418EFA32FFD11C9540B104AAC2AF783740"
"1004600135",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Manitou Rd",NULL,356483280,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,641352,5487819,"298.61475751459","300.625474.584724.272792","300.625474.584724.272792","ELKR",NULL,"1004600156;11e03b9a-0a3f-4022-b534-7e3de9eece2e",2,"1004600022;1004600025;1004600174;1004600176;1024734259",5,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.60600095740818","0","0.3","0","0","2.61","0.3","2.61","0.3","13082","2.63",7,"0.37571428571428571429",NULL,"63","76","22","45","D","no","above_elko","01010000E0BD0B0000BD31ACB150513B418062FBA7B32921410000000000808F4026C2F90BD6A97240"
"1004600143",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","6th Ave",NULL,356526819,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600143,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,640850,5486820,"840.103381838805","300.625474.584724.270056","300.625474.584724.270056.244535","ELKR",NULL,"1024734251;1024734250;11e03b9a-0a3f-4022-b534-7e3de9eece2e",3,"1024734255;1024734256",2,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.420196172346451","0","0.06","0","0","0.42","0.06","0.42","0.06","313923","0.38",2,"0.19000000000000000000","{313922}","82","175","86","121","D","no","above_elko","01010000E0BD0B0000E3FEA2C6DE4F3B411DE0E624762121410000000000788F405885DBB9D3408A40"
"1004600156",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","CBS","POTENTIAL","Hwy 3",NULL,356483280,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4600156,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,641369,5487802,"273.827085211869","300.625474.584724.272792","300.625474.584724.272792","ELKR",NULL,"11e03b9a-0a3f-4022-b534-7e3de9eece2e",1,"1004600022;1004600025;1004600135;1004600174;1004600176;1024734259",6,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.63100095740819","0","0.03","0","0","2.63","0.02","2.63","0.02","13082","2.63",7,"0.37571428571428571429",NULL,"63","76","22","45","D","no","above_elko","01010000E0BD0B00006433224A63513B41864DFE2B962921410000000000808F40B9FFB3BD3B1D7140"
